"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y"
"569","Golden State Warriors","1/28/17",2016,3,6,21,"y","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",146,223
"570","Golden State Warriors","2/27/17",2016,2,5,30,"n","Jump Shot","3PT Field Goal",25,"Philadelphia 76ers",-192,175
"571","Golden State Warriors","2/27/17",2016,3,11,41,"y","Jump Shot","3PT Field Goal",23,"Philadelphia 76ers",-235,13
"572","Golden State Warriors","1/29/17",2016,4,2,1,"y","Jump Shot","2PT Field Goal",21,"Portland Trail Blazers",9,214
"573","Golden State Warriors","1/29/17",2016,1,1,27,"n","Jump Shot","3PT Field Goal",25,"Portland Trail Blazers",14,257
"574","Golden State Warriors","1/29/17",2016,1,9,54,"n","Jump Shot","3PT Field Goal",24,"Portland Trail Blazers",155,193
"575","Golden State Warriors","1/29/17",2016,1,9,20,"y","Jump Shot","2PT Field Goal",10,"Portland Trail Blazers",-104,7
"576","Golden State Warriors","1/29/17",2016,1,1,55,"y","Jump Shot","2PT Field Goal",22,"Portland Trail Blazers",133,185
"577","Golden State Warriors","2/10/17",2016,2,1,35,"n","Jump Shot","3PT Field Goal",23,"Memphis Grizzlies",232,11
"578","Golden State Warriors","2/4/17",2016,2,4,37,"n","Jump Shot","3PT Field Goal",26,"Sacramento Kings",-2,262
"579","Golden State Warriors","2/4/17",2016,1,4,48,"n","Jump Shot","3PT Field Goal",25,"Sacramento Kings",-27,252
"580","Golden State Warriors","2/4/17",2016,4,6,46,"n","Jump Shot","3PT Field Goal",25,"Sacramento Kings",114,229
"581","Golden State Warriors","2/4/17",2016,1,11,43,"n","Jump Shot","3PT Field Goal",22,"Sacramento Kings",-227,3
"582","Golden State Warriors","2/4/17",2016,3,2,0,"n","Jump Shot","3PT Field Goal",24,"Sacramento Kings",-171,175
"583","Golden State Warriors","2/4/17",2016,3,10,21,"n","Jump Shot","3PT Field Goal",25,"Sacramento Kings",50,249
"584","Golden State Warriors","2/15/17",2016,3,11,0,"y","Jump Shot","2PT Field Goal",18,"Sacramento Kings",187,8
"585","Golden State Warriors","2/15/17",2016,1,4,11,"y","Jump Shot","3PT Field Goal",25,"Sacramento Kings",153,198
"586","Golden State Warriors","2/15/17",2016,1,4,39,"n","Jump Shot","3PT Field Goal",25,"Sacramento Kings",-156,203
"587","Golden State Warriors","2/15/17",2016,1,5,35,"n","Jump Shot","2PT Field Goal",5,"Sacramento Kings",-30,43
"588","Golden State Warriors","2/15/17",2016,2,3,5,"n","Jump Shot","3PT Field Goal",27,"Sacramento Kings",192,198
"589","Golden State Warriors","2/15/17",2016,2,7,25,"y","Jump Shot","2PT Field Goal",17,"Sacramento Kings",135,115
"590","Golden State Warriors","2/15/17",2016,2,1,23,"n","Jump Shot","3PT Field Goal",26,"Sacramento Kings",-150,223
"591","Golden State Warriors","2/10/17",2016,1,6,40,"y","Jump Shot","3PT Field Goal",23,"Memphis Grizzlies",236,7
"592","Golden State Warriors","2/10/17",2016,3,7,56,"y","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",184,174
