"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y"
"675","Golden State Warriors","2/4/17",2016,3,9,57,"n","Jump Shot","3PT Field Goal",25,"Sacramento Kings",227,106
"676","Golden State Warriors","2/4/17",2016,1,3,5,"n","Jump Shot","2PT Field Goal",15,"Sacramento Kings",-34,156
"677","Golden State Warriors","2/4/17",2016,4,11,46,"n","Jump Shot","2PT Field Goal",22,"Sacramento Kings",-137,178
"678","Golden State Warriors","2/4/17",2016,1,10,20,"n","Jump Shot","2PT Field Goal",13,"Sacramento Kings",119,61
"679","Golden State Warriors","2/4/17",2016,1,5,25,"y","Jump Shot","3PT Field Goal",23,"Sacramento Kings",-232,33
"680","Golden State Warriors","2/4/17",2016,2,10,15,"y","Jump Shot","2PT Field Goal",19,"Sacramento Kings",78,174
"681","Golden State Warriors","2/4/17",2016,1,4,57,"n","Jump Shot","2PT Field Goal",4,"Sacramento Kings",-37,18
"682","Golden State Warriors","2/4/17",2016,3,2,50,"y","Jump Shot","3PT Field Goal",24,"Sacramento Kings",218,111
"683","Golden State Warriors","2/4/17",2016,3,6,18,"y","Jump Shot","3PT Field Goal",23,"Sacramento Kings",-232,16
"684","Golden State Warriors","2/4/17",2016,2,2,5,"y","Jump Shot","3PT Field Goal",22,"Sacramento Kings",-228,7
"685","Golden State Warriors","2/4/17",2016,4,0,0,"n","Jump Shot","2PT Field Goal",20,"Sacramento Kings",-169,111
"686","Golden State Warriors","2/4/17",2016,2,7,20,"n","Jump Shot","3PT Field Goal",25,"Sacramento Kings",63,247
"687","Golden State Warriors","2/4/17",2016,2,8,25,"n","Jump Shot","2PT Field Goal",10,"Sacramento Kings",17,106
"688","Golden State Warriors","2/4/17",2016,4,3,4,"n","Jump Shot","2PT Field Goal",18,"Sacramento Kings",46,180
"689","Golden State Warriors","2/4/17",2016,1,6,55,"n","Jump Shot","3PT Field Goal",23,"Sacramento Kings",-233,16
"690","Golden State Warriors","2/4/17",2016,3,10,55,"n","Jump Shot","3PT Field Goal",23,"Sacramento Kings",238,16
"691","Golden State Warriors","2/4/17",2016,3,1,27,"n","Jump Shot","3PT Field Goal",23,"Sacramento Kings",236,-1
"692","Golden State Warriors","2/15/17",2016,2,1,20,"n","Jump Shot","2PT Field Goal",18,"Sacramento Kings",123,144
"693","Golden State Warriors","2/15/17",2016,4,9,18,"y","Jump Shot","3PT Field Goal",25,"Sacramento Kings",-16,257
"694","Golden State Warriors","2/15/17",2016,3,11,43,"n","Jump Shot","3PT Field Goal",25,"Sacramento Kings",-228,105
"695","Golden State Warriors","2/15/17",2016,1,8,58,"y","Jump Shot","2PT Field Goal",18,"Sacramento Kings",12,188
"696","Golden State Warriors","2/15/17",2016,2,11,22,"y","Jump Shot","3PT Field Goal",25,"Sacramento Kings",227,111
"697","Golden State Warriors","2/15/17",2016,2,6,48,"n","Jump Shot","3PT Field Goal",25,"Sacramento Kings",-115,232
"698","Golden State Warriors","2/15/17",2016,2,9,32,"n","Jump Shot","3PT Field Goal",24,"Sacramento Kings",87,232
"699","Golden State Warriors","2/15/17",2016,3,8,24,"y","Jump Shot","3PT Field Goal",25,"Sacramento Kings",-204,149
"700","Golden State Warriors","2/15/17",2016,2,1,56,"n","Jump Shot","3PT Field Goal",25,"Sacramento Kings",-106,228
